timestamp,device_id,device_type,latency_ms,packet_loss_percent,bandwidth_utilization,throughput_mbps,jitter_ms,cpu_usage_percent,memory_usage_percent,error_rate,interface_utilization,device_status,failure_type
2025-01-01T00:00:00+00:00,ro-5,router,88.16,1.98,49.1,154.99,15.73,94.27,84.51,1.66,55.0,warning,device_overload
2025-01-01T00:00:05+00:00,da-4,database,188.82,12.42,90.13,98.4,19.23,77.16,69.32,1.96,91.92,warning,congestion
2025-01-01T00:00:10+00:00,co-6,core_switch,13.27,0.57,34.87,185.67,2.18,16.96,44.21,0.11,62.96,healthy,normal
2025-01-01T00:00:15+00:00,ac-6,access_switch,28.48,1.06,20.15,160.14,2.3,18.59,34.24,0.09,29.45,healthy,normal
2025-01-01T00:00:20+00:00,ac-3,access_switch,102.57,2.47,55.68,181.45,17.37,94.53,86.74,6.1,52.03,warning,device_overload
2025-01-01T00:00:25+00:00,cl-4,client,31.91,1.26,54.47,160.39,0.97,29.2,35.78,0.19,64.03,healthy,normal
2025-01-01T00:00:30+00:00,ac-8,access_switch,336.82,98.97,4.59,2.12,58.56,6.74,3.68,67.15,7.18,warning,device_failure
2025-01-01T00:00:35+00:00,co-3,core_switch,26.3,0.14,20.21,134.12,4.06,50.64,42.58,0.06,34.84,healthy,normal
2025-01-01T00:00:40+00:00,da-5,database,142.4,8.89,88.14,783.15,21.63,84.11,60.14,3.38,91.12,warning,traffic_spike
2025-01-01T00:00:45+00:00,se-1,server,40.52,1.31,30.38,220.13,1.73,56.07,62.3,0.27,48.23,healthy,normal
2025-01-01T00:00:50+00:00,co-6,core_switch,195.56,10.47,96.24,108.95,12.01,56.99,42.7,6.57,98.3,warning,congestion
2025-01-01T00:00:55+00:00,ac-4,access_switch,467.06,99.36,0.86,3.89,48.81,9.13,10.72,42.06,3.8,warning,device_failure
2025-01-01T00:01:00+00:00,ac-7,access_switch,224.83,15.15,95.84,129.68,30.54,59.76,66.18,3.24,98.59,warning,congestion
2025-01-01T00:01:05+00:00,co-4,core_switch,12.05,0.03,44.03,239.46,0.84,46.85,26.59,0.06,16.63,healthy,normal
2025-01-01T00:01:10+00:00,da-4,database,18.91,0.73,43.34,269.14,5.39,40.93,34.69,0.43,36.17,healthy,normal
2025-01-01T00:01:15+00:00,cl-7,client,21.34,0.62,58.6,121.92,4.2,44.08,26.67,0.66,56.63,healthy,normal
2025-01-01T00:01:20+00:00,co-4,core_switch,27.16,0.21,26.62,211.78,5.35,18.39,59.55,0.77,20.09,healthy,normal
2025-01-01T00:01:25+00:00,da-1,database,171.43,7.48,78.95,77.45,14.77,88.99,90.42,1.41,61.3,warning,device_overload
2025-01-01T00:01:30+00:00,ac-8,access_switch,80.67,7.57,96.77,813.85,21.24,82.6,57.22,1.48,90.58,warning,traffic_spike
2025-01-01T00:01:35+00:00,ro-1,router,195.04,85.35,20.23,12.75,33.41,42.85,65.01,23.08,1.22,offline,link_failure
2025-01-01T00:01:40+00:00,se-4,server,386.31,88.48,0.82,5.26,76.09,3.8,3.65,71.83,2.51,warning,device_failure
2025-01-01T00:01:45+00:00,co-5,core_switch,24.63,1.39,61.98,112.05,4.03,40.33,28.4,0.48,41.31,healthy,normal
2025-01-01T00:01:50+00:00,ac-2,access_switch,38.14,0.55,25.41,293.42,4.46,42.53,67.44,0.59,15.41,healthy,normal
2025-01-01T00:01:55+00:00,ac-2,access_switch,483.51,89.61,1.15,0.86,75.43,3.27,8.47,74.47,1.63,offline,device_failure
2025-01-01T00:02:00+00:00,ac-8,access_switch,88.88,7.36,47.03,140.63,20.27,86.62,89.34,1.92,87.13,warning,device_overload
2025-01-01T00:02:05+00:00,se-7,server,27.95,0.17,62.42,262.02,1.58,16.62,40.25,0.5,37.35,healthy,normal
2025-01-01T00:02:10+00:00,ac-1,access_switch,38.77,0.32,29.73,132.61,4.86,54.79,41.88,0.56,23.04,healthy,normal
2025-01-01T00:02:15+00:00,co-3,core_switch,134.33,2.2,96.84,592.77,26.62,92.07,82.83,4.15,92.67,warning,traffic_spike
2025-01-01T00:02:20+00:00,ro-1,router,437.58,78.23,17.96,11.05,48.31,55.79,35.7,21.06,3.48,offline,link_failure
2025-01-01T00:02:25+00:00,ro-5,router,21.24,0.76,49.94,295.61,2.52,16.24,62.59,0.24,45.19,healthy,normal
2025-01-01T00:02:30+00:00,ro-2,router,108.69,4.77,97.44,643.83,27.68,71.47,84.18,1.36,90.44,warning,traffic_spike
2025-01-01T00:02:35+00:00,da-4,database,21.66,0.1,49.22,182.64,2.43,53.16,55.67,0.27,31.08,healthy,normal
2025-01-01T00:02:40+00:00,se-5,server,27.74,0.29,49.25,193.41,4.69,22.83,49.04,0.37,58.35,healthy,normal
2025-01-01T00:02:45+00:00,co-7,core_switch,35.14,0.91,33.15,207.19,4.31,38.0,58.92,0.86,53.27,healthy,normal
2025-01-01T00:02:50+00:00,ac-6,access_switch,70.74,7.66,54.39,96.91,19.91,88.06,84.74,7.89,71.28,warning,device_overload
2025-01-01T00:02:55+00:00,se-4,server,395.5,82.75,8.79,3.54,71.26,60.17,65.44,59.85,14.01,offline,link_failure
2025-01-01T00:03:00+00:00,cl-8,client,11.61,0.37,57.87,210.42,4.97,45.04,67.47,0.54,64.4,healthy,normal
2025-01-01T00:03:05+00:00,da-7,database,129.75,6.38,98.77,794.39,17.49,75.78,59.4,3.37,97.66,warning,traffic_spike
2025-01-01T00:03:10+00:00,cl-4,client,124.82,4.93,87.86,75.32,20.31,64.99,46.98,2.39,95.72,warning,congestion
2025-01-01T00:03:15+00:00,ro-7,router,106.87,4.8,61.63,82.92,13.72,98.67,93.35,5.87,81.84,warning,device_overload
